 class , CNN-BCE-BP , CNN-BCE-BAN_ban , CNN-01-ABP 
0 vs 1,6.870896616,7.45416977,7.097016279
0 vs 2,5.769389413,7.478186818,7.01956119
0 vs 3,6.475209124,8.496614742,8.799255579
0 vs 4,5.219664776,6.250647639,6.361499485
0 vs 5,6.431934618,8.297863802,8.627492552
0 vs 6,7.677257113,8.011180093,8.287132472
0 vs 7,6.8248174,9.566904451,8.432349191
0 vs 8,5.290862185,7.716544537,8.108334219
0 vs 9,5.829602163,5.883287445,5.6549247
1 vs 2,6.458156238,8.13750875,7.543399374
1 vs 3,5.11014499,5.76958233,6.902868476
1 vs 4,6.625201782,7.444630907,6.744520789
1 vs 5,6.246374027,6.985549495,6.966205666
1 vs 6,7.521475585,8.285867986,8.35766173
1 vs 7,7.049264415,8.166719235,8.077448241
1 vs 8,5.686537443,6.490522736,6.832915417
1 vs 9,4.623647918,6.485479647,6.694434928
2 vs 3,3.839563502,5.301869723,5.658282722
2 vs 4,3.259330604,4.458896628,8.762095834
2 vs 5,4.634420349,5.322829697,5.73424517
2 vs 6,5.657834897,5.750450214,5.355146364
2 vs 7,5.45201141,6.804505522,6.886384239
2 vs 8,6.928485604,7.839082937,7.530961498
2 vs 9,6.527482897,7.407301288,7.484427572
3 vs 4,4.058641386,4.765919743,5.658260372
3 vs 5,3.558767925,5.656133661,4.032951256
3 vs 6,4.365103019,5.606858849,4.55088513
3 vs 7,4.220513151,5.439058263,6.425674438
3 vs 8,6.72446442,8.591550857,8.393567561
3 vs 9,5.371856657,7.279000925,7.020405565
4 vs 5,5.938137326,9.562172908,8.575636359
4 vs 6,4.171539833,5.147220886,4.744505823
4 vs 7,4.001420989,6.703261319,6.402011486
4 vs 8,7.52263061,9.947691437,8.747772517
4 vs 9,6.533268396,8.031049004,7.039472546
5 vs 6,5.525614237,5.968142301,6.474861439
5 vs 7,4.387853059,6.104023069,5.899725044
5 vs 8,7.296549015,8.055537175,9.074127205
5 vs 9,6.26401044,7.417403773,7.257681939
6 vs 7,5.709854707,7.134135536,6.526952632
6 vs 8,7.645147781,7.940282953,7.691917572
6 vs 9,6.558867647,7.803028009,7.780234232
7 vs 8,6.601072742,9.663465261,9.224012339
7 vs 9,5.795319659,6.969586535,7.171723518
8 vs 9,5.294737705,5.741030049,5.698963753
