source,cnnbcebp,,cnnbceban,,cnn01abp,
target,cnnbceban,cnn01abp,cnnbcebp,cnn01abp,cnnbcebp,cnnbceban
0 vs 1,17.35,47.9,40.85,60.8,83.6,80.15
0 vs 2,12.8,15.4,19.8,22.8,51.55,51.85
0 vs 3,25.75,36.25,38.65,41.3,73.3,68.65
0 vs 4,5.35,11.4,10.95,16.95,52.95,48.4
0 vs 5,20.5,32.2,34.3,42.45,76.45,72.55
0 vs 6,29.3,31.85,44.55,43.6,82.8,80.35
0 vs 7,17.35,27.2,23.65,36.1,70.1,68.75
0 vs 8,5.35,13.7,14.15,17.6,52.35,41.9
0 vs 9,17.95,40.9,33.6,49.3,77.35,72.25
1 vs 2,26.1,35.1,56.25,60.15,80.85,76.8
1 vs 3,19.65,31.15,47.9,50.3,74.35,68.95
1 vs 4,14.55,24.8,34.25,41.8,71.8,67.1
1 vs 5,20,31.45,47.75,49.85,77.3,74.65
1 vs 6,13.35,23.85,37.25,39.7,77.1,71.4
1 vs 7,15.65,32.4,46.7,51.5,81.6,77.05
1 vs 8,7.1,20.5,22.55,33.55,65.35,56.95
1 vs 9,1.2,17.6,6.95,29.75,65.1,57.65
2 vs 3,2.1,7.85,4,10.45,38,31.05
2 vs 4,0.1,1.9,2.05,3.4,26.8,17.5
2 vs 5,2.7,9.75,8.05,15.3,45.8,39.05
2 vs 6,3.95,10.55,12.4,20.75,48.55,42.75
2 vs 7,3.55,13.7,15.95,23.05,55.55,43.9
2 vs 8,20.45,32.95,30.3,40.6,73.85,71.45
2 vs 9,15.75,39.75,45.35,57.25,77.2,69.6
3 vs 4,2.8,8.4,4.9,11.55,37.95,29.55
3 vs 5,1.3,3.8,2.85,4.6,32.3,28
3 vs 6,2.3,7.55,9.9,12.5,45.15,33.7
3 vs 7,0.95,5.75,5.1,9.45,34.95,23.8
3 vs 8,21.05,36.7,39.55,42.55,81.15,73.45
3 vs 9,8.6,23.65,37.7,44.25,66.5,57.75
4 vs 5,5.85,9.5,9.7,13.8,52.2,46.95
4 vs 6,0.2,2.95,3.55,7.75,34.05,25.45
4 vs 7,1.15,6.25,4.35,11.2,38.95,32.35
4 vs 8,17.5,28.6,31.4,37.25,73.05,64.65
4 vs 9,12.55,24.25,31.65,41.55,68.4,63.45
5 vs 6,2.65,6.95,7.75,10.7,44.1,39.95
5 vs 7,1.05,9.25,4.75,10.45,49.7,35.05
5 vs 8,24.8,41.25,46.4,48.6,85.05,79.05
5 vs 9,9.75,27.05,40.05,44.5,75.5,67.9
6 vs 7,2.25,9.85,15.05,21.3,55.85,44.05
6 vs 8,29.45,37.1,46.55,44.1,83.15,78.45
6 vs 9,6,15.75,25.7,25.5,72.45,62.6
7 vs 8,25.05,38,33.5,46.7,78.75,75.95
7 vs 9,8.2,28.3,23.2,39.05,70.35,65.4
8 vs 9,6.8,23.4,23.65,33.4,63.35,54.7
,,,,,,
,,,,,,
,,,1.67552E-05,0.062145952,,
