classes,cnnbcebp,cnnbceban,cnn01abp,classes,cnnbcebp,cnnbceban,cnn01abp
0 vs 1,6.95,8.7,19.95,2 vs 9,5.05,4.3,15.5
0 vs 2,0.7,2.1,2.85,3 vs 4,0.35,0.1,0.7
0 vs 3,6.85,10.25,15.05,3 vs 5,0,0,0
0 vs 4,1.15,1.3,3.4,3 vs 6,0.25,0.1,0.4
0 vs 5,6.9,7.4,14.15,3 vs 7,0.7,0.15,0.95
0 vs 6,11.05,21.45,15.9,3 vs 8,7.8,5.8,16.5
0 vs 7,6.45,11.6,15.8,3 vs 9,2.15,0.95,6.2
0 vs 8,1.05,0.75,1.4,4 vs 5,0.65,1.5,1.45
0 vs 9,6.5,8.3,15.65,4 vs 6,0,0,0.35
1 vs 2,8.65,10.55,22.3,4 vs 7,0.2,0.35,1
1 vs 3,6.45,6.25,14.95,4 vs 8,3.55,7.95,15.8
1 vs 4,6.2,5.5,15.35,4 vs 9,3.4,5.75,13.25
1 vs 5,5.75,5.8,16.6,5 vs 6,0.85,0.95,1.25
1 vs 6,7.1,5.05,12.4,5 vs 7,0.2,0.2,0.65
1 vs 7,8.3,5.5,14.65,5 vs 8,12.75,8.7,21.45
1 vs 8,1.9,2,8.7,5 vs 9,2.5,1.15,6.9
1 vs 9,0,0.05,0.45,6 vs 7,1,0.7,2.85
2 vs 3,0.35,0.3,0.5,6 vs 8,11.85,13.8,23.15
2 vs 4,0.05,0,0.05,6 vs 9,2.5,1.15,6.25
2 vs 5,0.5,0.3,1.05,7 vs 8,6.7,15.75,23.95
2 vs 6,0.55,0.4,1.4,7 vs 9,2.35,2.75,8.9
2 vs 7,0.6,0.7,2.1,8 vs 9,1.3,0.7,7.65
2 vs 8,4.15,8.2,14,,,,
