class,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,3.2307446229547017,3.1138607725465586,2.726884778122987,2.1846075415089325
0 vs 2,2.6424321834372084,2.711608061654573,2.9704639371481507,1.5952167333530822
0 vs 3,3.02365292003894,3.8086541935039357,3.1169691845365497,2.3884861821650194
0 vs 4,2.6530353153078328,3.5369025568486365,3.216598844688927,1.946039731361463
0 vs 5,3.0095234952076533,3.67207860039187,3.1286822189141192,2.190715928578758
0 vs 6,3.374833539032222,4.322932890462372,4.723686328997803,2.313425382160192
0 vs 7,2.785928178668551,2.800887848607699,3.021136139626064,2.085050009439227
0 vs 8,2.10376301837815,2.2645983901350166,1.622227479053056,1.65042779604647
0 vs 9,3.6897567114982763,3.4205179653793927,2.54882725528896,2.047513641170015
1 vs 2,3.112842963196279,3.3591504872295435,2.2740009376107664,1.9571417875569055
1 vs 3,3.4579790272776445,3.37724360765427,2.0443387109857625,2.2065074415577697
1 vs 4,2.827946456981157,3.2168197719970735,2.4668397327373666,1.994735208131394
1 vs 5,2.8275412521793752,3.2803278238218914,2.798450966691069,2.0682717551167475
1 vs 6,3.1117871944324285,3.730509442549283,2.3738929357503307,2.3894254674729156
1 vs 7,2.9016873325532146,3.300639418007705,2.620843719417693,2.0411570970213977
1 vs 8,2.7489590245460365,2.4614677284979782,2.3006877575371316,1.8838825905567824
1 vs 9,2.2191887265677313,2.3548455141421227,1.467272934807359,1.4615495354705403
2 vs 3,2.2713949178891815,2.822751292847716,1.3333334524253544,1.4759070710401025
2 vs 4,1.239545676011803,0.9923725152167588,0.8521014690142756,1.0231125533137155
2 vs 5,2.704052731566707,2.822737982267556,1.3451353178476322,1.4604502399946928
2 vs 6,1.699469279212907,2.0603719518088823,1.6425599471870365,1.4378631331960374
2 vs 7,2.3413259481249016,2.1418317784764844,1.7639600928464059,1.583536512067144
2 vs 8,3.1251264598324537,4.031587586110753,3.0629538158244296,2.0213593889109465
2 vs 9,3.0378569268864917,3.957557802793157,2.6591988057797318,2.0239987877795595
3 vs 4,2.0287084894896266,2.823938617055878,1.5619283984112016,1.6202413605797188
3 vs 5,1.4357286194134828,2.0422820547516203,0.9671610887614763,0.8331936227327537
3 vs 6,2.806250835862526,2.508375102637756,1.4749175941748751,1.798148439081246
3 vs 7,2.055242241075457,1.940353380626508,1.360747323961327,1.4158322702150148
3 vs 8,4.080765334928459,4.904059778927922,3.9068173976527643,2.4641451020652005
3 vs 9,2.7911480520929146,3.26467755920385,2.207148634937185,2.105247529755397
4 vs 5,2.35341986182138,2.060003260731177,1.2971287218863994,1.6479428880163507
4 vs 6,1.7371263402919204,1.6556718871102323,1.2621378502270635,1.2717217224961153
4 vs 7,2.0176499258128,2.075954702228434,1.2536697385930111,1.5433843628164674
4 vs 8,3.4912509245212977,4.679111129939321,3.7826333286791387,2.064258534125556
4 vs 9,2.858806738324612,4.2561478149297205,3.1818662805587783,2.2152682966130177
5 vs 6,2.235842251397222,2.698920037346098,1.9217323841835778,1.8641616725821426
5 vs 7,1.9627282723971042,2.193911838050746,1.5896753181227523,1.4045798882429952
5 vs 8,3.0567290622409082,4.446832275483251,3.492125209023823,2.238833169660631
5 vs 9,3.163748658264106,4.235201388166808,2.8431546514952846,2.162056922855275
6 vs 7,2.0971567303041763,2.0368899086408896,1.8759928014176317,1.8360583604537097
6 vs 8,3.739215635254799,5.411894329727353,4.983234353710699,2.663988765998197
6 vs 9,2.584350603337791,4.168813670106656,2.459612270380827,2.145985237048296
7 vs 8,3.5367753613082864,3.867516609338634,3.9457029648141555,2.4005384793433997
7 vs 9,2.5826089444979163,3.3530091148712664,2.7497650901161865,1.869258213067853
8 vs 9,2.565045061151096,3.1991719697548637,2.5889775930021246,1.9766097789651913
