target,mlpbceban,mlp01scd,mlpbcescd,mlpbcebp,mlp01scd,mlpbcescd,mlpbcebp,mlpbceban,mlpbcescd,mlpbcebp,mlpbceban,mlp01scd
0 vs 1,0.44999999999999996,66.45,3.6999999999999997,1.4500000000000002,69.95,4.25,81.95,75.6,71.5,26.05,14.95,65.45
0 vs 2,0.0,66.2,0.2,0.15,66.45,0.35000000000000003,80.35,79.85,76.6,11.95,7.95,61.199999999999996
0 vs 3,3.0,73.45,5.0,1.25,72.7,6.800000000000001,87.4,84.35000000000001,74.7,22.900000000000002,29.45,68.05
0 vs 4,0.5499999999999999,75.5,0.75,0.35000000000000003,74.9,0.8500000000000001,83.95,83.1,70.8,11.1,17.599999999999998,68.65
0 vs 5,1.2,73.85000000000001,5.55,0.75,74.5,7.35,89.60000000000001,87.1,81.89999999999999,21.55,26.05,67.5
0 vs 6,1.8499999999999999,73.15,4.35,1.7000000000000002,72.35000000000001,7.449999999999999,88.4,85.85000000000001,81.85,25.75,28.849999999999998,72.55
0 vs 7,0.15,71.89999999999999,2.35,0.5,73.8,2.9499999999999997,82.75,80.2,82.85,13.0,10.5,67.7
0 vs 8,0.0,46.7,0.35000000000000003,0.15,52.65,0.5,68.25,68.4,51.2,4.5,4.55,44.0
0 vs 9,0.44999999999999996,66.25,5.3,2.55,69.1,6.25,83.39999999999999,78.85,78.55,31.05,17.9,68.05
1 vs 2,0.5499999999999999,70.55,3.75,0.8999999999999999,71.89999999999999,5.3,87.45,83.25,82.25,23.75,19.25,69.1
1 vs 3,0.35000000000000003,54.1,4.05,2.15,60.550000000000004,6.2,84.25,78.95,73.5,31.35,20.9,58.85
1 vs 4,0.35000000000000003,70.1,4.05,1.7500000000000002,71.8,6.4,83.65,75.1,73.85000000000001,28.7,23.7,65.8
1 vs 5,1.4000000000000001,70.55,4.8,1.2,66.35,4.8,86.45,80.80000000000001,78.5,20.75,20.25,66.64999999999999
1 vs 6,1.0,65.14999999999999,5.1499999999999995,1.05,66.60000000000001,6.9,87.9,82.85,87.7,24.95,24.55,68.7
1 vs 7,0.25,63.05,3.75,1.35,66.75,4.15,87.6,82.45,77.55,24.75,15.35,62.9
1 vs 8,0.65,54.449999999999996,2.0,2.9499999999999997,61.0,2.4,76.6,71.7,64.64999999999999,17.8,10.100000000000001,48.699999999999996
1 vs 9,0.0,44.1,0.1,0.05,46.45,0.15,71.05,67.15,58.9,4.3999999999999995,2.65,38.550000000000004
2 vs 3,1.35,44.800000000000004,1.05,0.7000000000000001,42.449999999999996,1.7000000000000002,66.85,61.550000000000004,58.050000000000004,7.9,13.05,43.35
2 vs 4,0.0,35.199999999999996,0.35000000000000003,0.0,38.65,0.3,63.74999999999999,61.95,40.849999999999994,1.2,1.35,25.85
2 vs 5,0.2,44.6,1.4500000000000002,0.25,51.949999999999996,1.7500000000000002,71.0,66.8,64.05,9.55,8.85,45.2
2 vs 6,0.2,45.95,0.6,0.35000000000000003,51.349999999999994,0.5499999999999999,73.2,70.35,55.7,4.65,3.85,34.55
2 vs 7,0.0,45.65,0.2,0.05,48.85,0.5,70.75,65.35,56.599999999999994,4.65,2.5,36.9
2 vs 8,0.5499999999999999,71.5,1.35,0.95,72.2,2.25,88.55,86.05000000000001,74.5,22.15,21.85,65.14999999999999
2 vs 9,0.35000000000000003,68.7,1.9,0.65,70.55,2.9000000000000004,84.5,80.4,75.6,19.75,19.55,65.95
3 vs 4,0.1,47.599999999999994,1.35,0.2,48.6,1.55,66.7,63.5,48.55,6.800000000000001,6.8500000000000005,47.55
3 vs 5,0.15,34.65,0.05,0.05,35.099999999999994,0.15,57.9,56.95,46.150000000000006,1.15,6.75,33.5
3 vs 6,0.1,36.25,1.0999999999999999,0.65,39.7,1.35,67.2,62.5,61.550000000000004,11.1,7.199999999999999,43.25
3 vs 7,0.05,38.9,0.1,0.1,41.699999999999996,0.25,70.3,66.55,52.6,3.6999999999999997,1.6,30.55
3 vs 8,1.0999999999999999,73.95,2.85,3.1,76.05,4.8500000000000005,88.2,84.5,84.89999999999999,35.0,27.150000000000002,71.25
3 vs 9,0.65,68.0,2.15,0.8500000000000001,65.05,2.55,79.55,72.89999999999999,69.65,16.45,15.55,63.349999999999994
4 vs 5,0.65,48.4,3.6999999999999997,0.5499999999999999,52.65,4.25,68.8,62.2,58.85,9.55,9.35,44.9
4 vs 6,0.1,38.75,0.2,0.05,38.95,0.3,66.5,62.6,54.400000000000006,2.5,1.95,34.449999999999996
4 vs 7,0.05,45.85,0.25,0.0,44.75,0.44999999999999996,60.25,54.7,48.0,4.0,2.9000000000000004,37.75
4 vs 8,1.4500000000000002,74.55000000000001,1.35,2.25,74.3,2.7,87.5,85.7,74.65,24.9,26.5,74.45
4 vs 9,0.3,69.15,2.3,0.75,69.45,4.15,85.9,80.55,80.55,18.95,20.25,73.0
5 vs 6,0.05,49.2,2.8000000000000003,0.25,50.55,2.9499999999999997,71.15,66.95,58.3,7.3999999999999995,7.000000000000001,46.25
5 vs 7,0.0,44.5,0.25,0.05,43.35,0.25,73.65,70.19999999999999,56.39999999999999,5.1499999999999995,3.2,35.25
5 vs 8,2.45,78.85,5.6000000000000005,0.8999999999999999,76.8,8.15,89.25,86.15,88.3,24.95,32.9,74.85000000000001
5 vs 9,1.05,71.39999999999999,3.1,1.3,71.39999999999999,4.95,88.64999999999999,85.35000000000001,83.6,26.0,24.85,70.0
6 vs 7,0.35000000000000003,46.75,1.0,0.3,48.15,0.95,73.75,67.75,66.10000000000001,6.4,4.2,43.0
6 vs 8,2.85,76.9,4.55,1.4000000000000001,81.2,6.45,90.9,87.75,86.65,28.749999999999996,35.0,79.25
6 vs 9,1.0,74.4,3.2,0.4,69.6,4.8500000000000005,86.45,83.1,78.64999999999999,16.05,24.2,69.3
7 vs 8,0.44999999999999996,69.55,1.9,1.35,71.39999999999999,2.5,87.5,83.3,79.35,18.6,14.099999999999998,67.80000000000001
7 vs 9,0.65,58.95,1.15,0.6,57.550000000000004,1.35,85.45,82.19999999999999,77.8,12.4,12.65,59.199999999999996
8 vs 9,0.5,61.650000000000006,1.25,0.2,61.8,1.4500000000000002,77.3,73.6,69.39999999999999,9.700000000000001,11.05,55.1
