classes\target,mlpbcebp,mlpbceban,mlp01scd
0 vs 1,5.4,6.4,73.9
0 vs 2,0.3,0.44999999999999996,76.25
0 vs 3,6.75,8.3,70.89999999999999
0 vs 4,0.8,1.4000000000000001,71.1
0 vs 5,7.449999999999999,10.9,84.3
0 vs 6,4.95,12.049999999999999,80.95
0 vs 7,3.9,3.95,83.1
0 vs 8,0.5499999999999999,0.8,54.1
0 vs 9,6.9,7.55,79.60000000000001
1 vs 2,5.4,7.9,82.19999999999999
1 vs 3,5.1499999999999995,9.15,72.89999999999999
1 vs 4,6.0,8.35,72.55
1 vs 5,6.950000000000001,7.449999999999999,82.95
1 vs 6,6.15,10.7,89.14999999999999
1 vs 7,5.949999999999999,7.049999999999999,78.10000000000001
1 vs 8,2.8000000000000003,3.3000000000000003,73.85000000000001
1 vs 9,0.25,0.5,64.05
2 vs 3,1.2,3.0,57.3
2 vs 4,0.5499999999999999,0.35000000000000003,47.15
2 vs 5,1.55,2.15,67.7
2 vs 6,0.65,0.95,62.3
2 vs 7,0.35000000000000003,0.8500000000000001,57.35
2 vs 8,2.3,5.4,81.95
2 vs 9,3.5999999999999996,6.75,77.10000000000001
3 vs 4,1.35,2.0500000000000003,45.5
3 vs 5,0.05,0.1,55.85
3 vs 6,1.25,1.9,58.050000000000004
3 vs 7,0.65,1.0999999999999999,57.4
3 vs 8,4.6,8.6,87.3
3 vs 9,3.5999999999999996,4.95,68.5
4 vs 5,3.85,4.7,65.7
4 vs 6,0.2,0.5499999999999999,64.05
4 vs 7,0.7000000000000001,0.8,46.300000000000004
4 vs 8,1.9,5.050000000000001,72.8
4 vs 9,3.1,6.4,84.3
5 vs 6,3.05,3.5000000000000004,64.35
5 vs 7,0.44999999999999996,0.6,65.25
5 vs 8,8.05,12.75,90.95
5 vs 9,4.8,8.0,85.45
6 vs 7,1.3,1.9,72.75
6 vs 8,8.5,11.799999999999999,91.10000000000001
6 vs 9,5.25,8.15,77.7
7 vs 8,3.35,4.9,85.9
7 vs 9,2.1999999999999997,3.5999999999999996,78.7
8 vs 9,1.7500000000000002,2.7,74.9
