classes\target,mlpbcebp,mlp01scd,mlpbcescd
0 vs 1,0.44999999999999996,75.6,14.95
0 vs 2,0.0,79.85,7.95
0 vs 3,3.0,84.35000000000001,29.45
0 vs 4,0.5499999999999999,83.1,17.599999999999998
0 vs 5,1.2,87.1,26.05
0 vs 6,1.8499999999999999,85.85000000000001,28.849999999999998
0 vs 7,0.15,80.2,10.5
0 vs 8,0.0,68.4,4.55
0 vs 9,0.44999999999999996,78.85,17.9
1 vs 2,0.5499999999999999,83.25,19.25
1 vs 3,0.35000000000000003,78.95,20.9
1 vs 4,0.35000000000000003,75.1,23.7
1 vs 5,1.4000000000000001,80.80000000000001,20.25
1 vs 6,1.0,82.85,24.55
1 vs 7,0.25,82.45,15.35
1 vs 8,0.65,71.7,10.100000000000001
1 vs 9,0.0,67.15,2.65
2 vs 3,1.35,61.550000000000004,13.05
2 vs 4,0.0,61.95,1.35
2 vs 5,0.2,66.8,8.85
2 vs 6,0.2,70.35,3.85
2 vs 7,0.0,65.35,2.5
2 vs 8,0.5499999999999999,86.05000000000001,21.85
2 vs 9,0.35000000000000003,80.4,19.55
3 vs 4,0.1,63.5,6.8500000000000005
3 vs 5,0.15,56.95,6.75
3 vs 6,0.1,62.5,7.199999999999999
3 vs 7,0.05,66.55,1.6
3 vs 8,1.0999999999999999,84.5,27.150000000000002
3 vs 9,0.65,72.89999999999999,15.55
4 vs 5,0.65,62.2,9.35
4 vs 6,0.1,62.6,1.95
4 vs 7,0.05,54.7,2.9000000000000004
4 vs 8,1.4500000000000002,85.7,26.5
4 vs 9,0.3,80.55,20.25
5 vs 6,0.05,66.95,7.000000000000001
5 vs 7,0.0,70.19999999999999,3.2
5 vs 8,2.45,86.15,32.9
5 vs 9,1.05,85.35000000000001,24.85
6 vs 7,0.35000000000000003,67.75,4.2
6 vs 8,2.85,87.75,35.0
6 vs 9,1.0,83.1,24.2
7 vs 8,0.44999999999999996,83.3,14.099999999999998
7 vs 9,0.65,82.19999999999999,12.65
8 vs 9,0.5,73.6,11.05
