classes\target,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,1.4500000000000002,81.95,26.05
0 vs 2,0.15,80.35,11.95
0 vs 3,1.25,87.4,22.900000000000002
0 vs 4,0.35000000000000003,83.95,11.1
0 vs 5,0.75,89.60000000000001,21.55
0 vs 6,1.7000000000000002,88.4,25.75
0 vs 7,0.5,82.75,13.0
0 vs 8,0.15,68.25,4.5
0 vs 9,2.55,83.39999999999999,31.05
1 vs 2,0.8999999999999999,87.45,23.75
1 vs 3,2.15,84.25,31.35
1 vs 4,1.7500000000000002,83.65,28.7
1 vs 5,1.2,86.45,20.75
1 vs 6,1.05,87.9,24.95
1 vs 7,1.35,87.6,24.75
1 vs 8,2.9499999999999997,76.6,17.8
1 vs 9,0.05,71.05,4.3999999999999995
2 vs 3,0.7000000000000001,66.85,7.9
2 vs 4,0.0,63.74999999999999,1.2
2 vs 5,0.25,71.0,9.55
2 vs 6,0.35000000000000003,73.2,4.65
2 vs 7,0.05,70.75,4.65
2 vs 8,0.95,88.55,22.15
2 vs 9,0.65,84.5,19.75
3 vs 4,0.2,66.7,6.800000000000001
3 vs 5,0.05,57.9,1.15
3 vs 6,0.65,67.2,11.1
3 vs 7,0.1,70.3,3.6999999999999997
3 vs 8,3.1,88.2,35.0
3 vs 9,0.8500000000000001,79.55,16.45
4 vs 5,0.5499999999999999,68.8,9.55
4 vs 6,0.05,66.5,2.5
4 vs 7,0.0,60.25,4.0
4 vs 8,2.25,87.5,24.9
4 vs 9,0.75,85.9,18.95
5 vs 6,0.25,71.15,7.3999999999999995
5 vs 7,0.05,73.65,5.1499999999999995
5 vs 8,0.8999999999999999,89.25,24.95
5 vs 9,1.3,88.64999999999999,26.0
6 vs 7,0.3,73.75,6.4
6 vs 8,1.4000000000000001,90.9,28.749999999999996
6 vs 9,0.4,86.45,16.05
7 vs 8,1.35,87.5,18.6
7 vs 9,0.6,85.45,12.4
8 vs 9,0.2,77.3,9.700000000000001
