,CIFAR10,,,,STL10,,,
classes,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
0 vs 1,0.4,0.1,26.9,0.15,3.12,1.25,0.19,0.25
0 vs 2,0,0,34.6,0,5.31,1.81,10.25,0.37
0 vs 3,0.25,0.5,45.6,0.4,15,10.44,5,0.19
0 vs 4,0.1,0.1,40.1,0,19.5,7.12,5.37,2.56
0 vs 5,0.1,0.05,57.4,0.6,24.94,7.69,1.81,0.19
0 vs 6,0.45,0.5,44.55,0.85,13.63,8.69,10.56,0.37
0 vs 7,0.15,0,34.7,0.55,18.25,14.94,1.69,0.62
0 vs 8,0,0,10.55,0,7.37,0.75,1.75,0.5
0 vs 9,0.65,0.1,36.05,0.25,5.75,1.81,2.94,0.12
1 vs 2,0.35,0.1,33.35,0.45,5,5.81,13.12,0.88
1 vs 3,0.4,0.05,30.2,0.15,0.25,0.06,0.06,0.12
1 vs 4,0.35,0,33.9,0.6,3.81,0,1.06,0
1 vs 5,0.55,0.25,33.95,0.6,2.31,0.06,0.12,0
1 vs 6,0.2,0.1,38.8,1.15,0.94,0.12,0.44,0.19
1 vs 7,0.15,0,29.4,0.35,2.25,0,0,0
1 vs 8,1,0.05,25.35,0.2,7.06,9.56,9.56,4
1 vs 9,0,0,12.3,0,6.25,7.56,17.56,4.37
2 vs 3,0.05,0.3,13.4,0.05,3.37,3.5,25.56,0
2 vs 4,0,0,8.45,0,8.44,4.69,23.12,0.06
2 vs 5,0.1,0,16.25,0.05,4.75,4,20.81,0.19
2 vs 6,0.05,0,19.55,0,4.69,6.88,27.31,0
2 vs 7,0,0,19.8,0.05,6.94,7.5,22.12,0.12
2 vs 8,0.3,0.05,44.1,0.05,0.94,0.12,17.62,0.25
2 vs 9,0.1,0.05,31.7,0.25,0.31,0,0.19,0.06
3 vs 4,0.05,0.05,19.1,0,0.31,0,0,0
3 vs 5,0,0,8.7,0,0.06,0,0,0
3 vs 6,0.3,0.05,22.1,0.05,0.44,0.12,0.12,0.44
3 vs 7,0.05,0.05,21.2,0.05,0.25,0,0,0
3 vs 8,1.05,0.15,48.6,0.2,13.88,11.19,9.44,2.31
3 vs 9,0.1,0.1,29.75,0.1,11.12,7.19,15.25,3.75
4 vs 5,0.05,0.35,17,0.4,13.88,0.37,0.56,1.12
4 vs 6,0,0.05,9.15,0,2.87,0.06,3.44,0.31
4 vs 7,0,0,16.6,0,1,0.31,2.19,0.69
4 vs 8,0.75,0.55,66.9,0.1,18.81,15.19,18.37,9.31
4 vs 9,0.2,0.05,35.9,0.15,8.56,2.94,21.12,3.37
5 vs 6,0.05,0.05,21.35,0.2,0.12,0.06,0,0.06
5 vs 7,0,0,14.2,0,0.69,0,0.12,0
5 vs 8,0.1,0.3,46.9,0.5,24.31,17,19.44,4.19
5 vs 9,0.35,0.1,67.95,0.1,15.25,5.37,18,4.12
6 vs 7,0.35,0.05,19.75,0.2,2.5,0.12,0.19,0.19
6 vs 8,0.25,0.8,72.75,0.85,22.5,9,15.06,5.62
6 vs 9,0.3,0.2,32.05,0.3,11.44,5.94,11.44,5.19
7 vs 8,0.4,0.25,44.45,0.25,14.69,15.25,19.31,7.25
7 vs 9,0.05,0.15,48.65,0,11.75,5.19,4.56,6.88
8 vs 9,0.1,0.15,29.75,0.15,1.62,0,4.5,0.12
