classes\target,mlpbcebp,mlpbceban,mlpbcescd
0 vs 1,53.31,52.059999999999995,56.37
0 vs 2,75.25,75.56,73.75
0 vs 3,60.19,59.56,71.0
0 vs 4,62.69,62.0,73.5
0 vs 5,62.370000000000005,58.63,70.19
0 vs 6,65.62,62.5,69.56
0 vs 7,67.81,67.31,71.75
0 vs 8,56.49999999999999,54.37,58.5
0 vs 9,69.5,68.62,69.06
1 vs 2,69.94,70.5,73.31
1 vs 3,23.87,22.06,41.370000000000005
1 vs 4,36.19,32.31,50.370000000000005
1 vs 5,32.87,21.560000000000002,38.62
1 vs 6,34.870000000000005,33.12,42.94
1 vs 7,32.690000000000005,22.56,27.750000000000004
1 vs 8,71.13000000000001,68.5,73.75
1 vs 9,66.5,67.0,75.62
2 vs 3,67.69,69.25,67.06
2 vs 4,75.25,77.19,72.37
2 vs 5,68.19,71.06,72.5
2 vs 6,67.44,70.75,69.87
2 vs 7,70.06,69.19,66.56
2 vs 8,66.0,66.25,68.12
2 vs 9,32.12,35.75,46.75
3 vs 4,33.56,24.19,44.940000000000005
3 vs 5,27.88,14.940000000000001,32.81
3 vs 6,25.56,24.310000000000002,38.690000000000005
3 vs 7,20.62,20.560000000000002,38.06
3 vs 8,71.44,71.56,75.31
3 vs 9,66.25,68.62,70.0
4 vs 5,44.62,34.44,47.0
4 vs 6,45.37,38.25,44.690000000000005
4 vs 7,29.189999999999998,21.69,39.69
4 vs 8,71.06,71.06,80.87
4 vs 9,70.12,69.87,75.5
5 vs 6,23.69,25.0,31.69
5 vs 7,25.869999999999997,21.560000000000002,26.619999999999997
5 vs 8,70.37,73.31,78.0
5 vs 9,66.06,68.44,70.75
6 vs 7,27.939999999999998,26.810000000000002,48.06
6 vs 8,75.75,77.69,79.86999999999999
6 vs 9,67.94,67.31,67.81
7 vs 8,76.5,74.37,77.0
7 vs 9,66.56,66.19,72.19
8 vs 9,52.629999999999995,53.5,54.190000000000005
